discount,orders,avg_profit
0.00,10,6758.6000
0.01,11,8311.4545
0.02,3,2273.3333
0.03,14,6262.3571
0.04,16,7541.9375
0.05,10,7606.7000
0.06,15,7227.8000
0.07,10,2619.3000
0.08,14,7747.5714
0.09,11,7782.8182
0.10,14,6870.1429
0.11,8,4548.0000
0.12,11,3171.3636
0.13,9,5645.6667
0.14,15,6315.6667
0.15,14,5999.0714
0.16,6,3217.3333
0.17,22,6698.5909
0.18,11,7736.2727
0.19,11,4918.5455
0.20,16,4907.2500
0.21,14,5055.6429
0.22,16,7597.9375
0.23,7,5144.4286
0.24,20,6428.3000
0.25,19,6536.3684
0.26,8,7624.5000
0.27,18,5494.7222
0.28,10,5521.7000
0.29,10,4557.5000
0.30,6,8016.1667
